index,smiles,half-life
9,Cc1cc(F)ccc1OC1CN(Cc2ccc(C#N)cc2)C1,0.2473309608540924
13,Cc1cc(OC2CN(Cc3ccc(C#N)cc3)C2)ccc1F,0.3220640569395017
21,N#Cc1ccc(CN2CC(Oc3ccc(F)cc3F)C2)cc1,0.4919928825622774
24,N#Cc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,0.5676156583629893
69,COc1ccc(OC2CN(Cc3ccc(C#N)cc3)C2)cc1,1.0
99,COc1ccc(CN2CC(Oc3ccc(F)cc3C)C2)cc1,0.1192170818505338
103,COc1ccc(CN2CC(Oc3ccc(F)c(C)c3)C2)cc1,0.1245551601423487
111,COc1ccc(CN2CC(Oc3ccc(F)cc3F)C2)cc1,0.2553380782918149
114,COc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,0.1992882562277579
157,COc1ccc(CN2CC(Oc3ccc(OC)cc3)C2)cc1,1.0
14,Cc1ccccc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,0.3683274021352313
25,COc1ccc(-c2[nH]nc3ncc(-c4cccc(F)c4)nc23)c(C)c1,0.6067615658362988
46,Cc1ccccc1-c1[nH]nc2ncc(-c3ccccc3C#N)nc12,1.0
104,Cc1ccccc1-c1[nH]nc2ncc(-c3ccccc3)nc12,0.7215302491103203
115,COc1ccc(-c2[nH]nc3ncc(-c4ccccc4)nc23)c(C)c1,0.389679715302491
135,COc1ccccc1-c1cnc2n[nH]c(-c3ccccc3C)c2n1,1.0
181,COc1ccccc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,1.0
188,COc1ccccc1-c1[nH]nc2ncc(-c3ccccc3)nc12,0.550711743772242
54,COCCOC1CCN(C(=O)Nc2cccc(F)c2)CC1,1.0
63,CCOCCOC1CCN(C(=O)Nc2cccc(F)c2)CC1,1.0
142,COCCOC1CCN(C(=O)Nc2ccccc2)CC1,1.0
151,CCOCCOC1CCN(C(=O)Nc2ccccc2)CC1,1.0
33,CNC(=O)[C@@H]1CN(C(=O)c2cccc(C#N)c2)C[C@H]1COC,0.7028469750889679
68,CN(C)[C@@H]1CN(C(=O)c2ccc(C#N)cc2)C[C@H]1CO,1.0
122,CNC(=O)[C@@H]1CN(C(=O)c2cccc(OC)c2)C[C@H]1COC,1.0
156,COc1ccc(C(=O)N2C[C@@H](N(C)C)[C@H](CO)C2)cc1,1.0
30,COc1cncc(Nc2ncc(-c3cccc(F)c3)c3c2OCC3)c1,0.6467971530249109
59,Fc1cccc(-c2cnc(Nc3cccnc3)c3c2CCO3)c1,1.0
119,COc1cncc(Nc2ncc(-c3ccccc3)c3c2OCC3)c1,1.0
147,c1ccc(-c2cnc(Nc3cccnc3)c3c2CCO3)cc1,1.0
180,N#Cc1ccnc(-c2nnc3ccc(NCc4cnccn4)nn23)c1,1.0
187,COc1ccnc(-c2nnc3ccc(NCc4cnccn4)nn23)c1,1.0
179,CN1CCOC2(CCN(Cc3cccc(C#N)c3)CC2)C1=O,1.0
186,COc1cccc(CN2CCC3(CC2)OCCN(C)C3=O)c1,1.0
178,Fc1cccc(Nc2ncc(-c3cncnc3)c3c2OCC3)c1,1.0
185,c1ccc(Nc2ncc(-c3cncnc3)c3c2OCC3)cc1,1.0
126,O=c1c2nc(Nc3ccccc3)ccc2ncn1-c1ccccc1,1.0
177,O=c1c2nc(Nc3cccc(F)c3)ccc2ncn1-c1ccccc1,0.7677935943060498
89,CCN1CCN(C(=O)C2Cn3cccc3C(=O)N2CC(C)C)CC1,1.0
176,CC(C)CN1C(=O)c2cccn2CC1C(=O)N1CCN(C)CC1,0.8870106761565835
88,Cc1nn2c(c1-c1ccccc1Oc1ccccc1)N(Cc1cccc(C#N)c1)CCC2,1.0
175,Cc1nn2c(c1-c1ccccc1Oc1ccccc1)N(Cc1ccc(C(=O)O)cc1)CCC2,1.0
87,CC1(c2ccccc2)N(Cc2ccccc2)C(=O)OC12CCN(Cc1cccc(C#N)c1)CC2,1.0
189,CC1(c2ccccc2)N(Cc2ccccc2)C(=O)OC12CCN(Cc1ccc(C(=O)O)cc1)CC2,1.0
86,CCN1CCN(C(=O)c2ccc3nccn3c2)CC1,1.0
174,CN1CCN(C(=O)c2ccc3nccn3c2)CC1,1.0
85,CCN1CCN(C(=O)c2cc(-c3cccnc3)nc3c2cnn3C)CC1,1.0
173,CN1CCN(C(=O)c2cc(-c3cccnc3)nc3c2cnn3C)CC1,1.0
84,CCN1CCN(C(=O)c2cc(-c3ccccc3OC)c3nncn3n2)CC1,1.0
172,COc1ccccc1-c1cc(C(=O)N2CCN(C)CC2)nn2cnnc12,1.0
83,CCN1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3c2cnn3C)CC1,1.0
171,CN1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3c2cnn3C)CC1,1.0
82,CCN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,1.0
170,CN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,1.0
81,CN1c2cc(C(=O)Nc3ccc(C#N)cc3)ccc2C(=O)N2CCCCC21,1.0
169,CN1c2cc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)ccc2C(=O)N2CCCCC21,1.0
80,N#Cc1ccc(C(=O)N2CCCOCCNC(=O)CC2)cc1,1.0
168,COc1ccc(C(=O)N2CCCOCCNC(=O)CC2)cc1,0.5560498220640568
79,O=C(O)c1ccc2c(c1)n(Cc1cccc(F)c1)c(=O)c1ccnn12,1.0
167,O=C(O)c1ccc2c(c1)n(Cc1ccccc1)c(=O)c1ccnn12,0.7241992882562277
78,O=C(O)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,1.0
166,O=C(O)c1ccc(-c2ncc3cnc(-c4ccccc4)cn23)cc1,0.7535587188612098
77,O=C(c1cccnc1)N1CCC(Oc2cccc(F)c2)C1,1.0
165,O=C(c1cccnc1)N1CCC(Oc2ccccc2)C1,0.8416370106761565
76,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2ccoc2)CCC3)c1,1.0
164,COc1cccc(-c2cn3c(n2)N(C(=O)c2ccoc2)CCC3)c1,0.9279359430604982
75,N#Cc1cccc(CN2CC[C@H](c3nnc(-c4ccco4)o3)C2)c1,1.0
163,COc1cccc(CN2CC[C@H](c3nnc(-c4ccco4)o3)C2)c1,0.983985765124555
74,Cc1noc(-c2cn(C3CCN(C(=O)c4cccc(F)c4)C3)nn2)n1,1.0
162,Cc1noc(-c2cn(C3CCN(C(=O)c4ccccc4)C3)nn2)n1,1.0
73,CN1CCC(OC2CCN(C(=O)c3cccc(F)c3)CC2)CC1,1.0
161,CN1CCC(OC2CCN(C(=O)c3ccccc3)CC2)CC1,1.0
72,N#Cc1cccc(-c2cn3c(n2)N(C(=O)c2cccs2)CCC3)c1,1.0
160,COc1cccc(-c2cn3c(n2)N(C(=O)c2cccs2)CCC3)c1,1.0
71,N#Cc1ccc(CN2CCC(N3Cc4cccn4C3=O)CC2)cc1,1.0
159,COc1ccc(CN2CCC(N3Cc4cccn4C3=O)CC2)cc1,1.0
70,Cc1nnc([C@H]2CCN(Cc3ccc(C#N)cc3)C2)o1,1.0
158,COc1ccc(CN2CC[C@H](c3nnc(C)o3)C2)cc1,1.0
67,O=C(Nc1ncc(-c2cccc(F)c2)c2c1OCC2)c1ccncc1,1.0
155,O=C(Nc1ncc(-c2ccccc2)c2c1OCC2)c1ccncc1,1.0
66,CN(CC1CCOC1)C(=O)Nc1cccc(F)c1,1.0
154,CN(CC1CCOC1)C(=O)Nc1ccccc1,1.0
65,O=C(c1ccncc1)N1CCC(Oc2cccc(F)c2)C1,1.0
153,O=C(c1ccncc1)N1CCC(Oc2ccccc2)C1,1.0
64,O=C(N1CCN([S+](=O)([O-])c2cccc(F)c2)CC1)N1CC2CC(C1)[C@H]1CCCC(=O)N1C2,1.0
152,O=C(N1CCN([S+](=O)([O-])c2ccccc2)CC1)N1CC2CC(C1)[C@H]1CCCC(=O)N1C2,1.0
62,N#Cc1cncc(N2CC3CCC(C2)N3CC(F)(F)F)c1,1.0
150,COc1cncc(N2CC3CCC(C2)N3CC(F)(F)F)c1,1.0
61,N#Cc1ccc(CN2CCC3(CC2)CC(=O)c2ccccc2O3)cc1,1.0
149,COc1ccc(CN2CCC3(CC2)CC(=O)c2ccccc2O3)cc1,1.0
60,N#Cc1ccc(CN2CCC3(C2)NC(=O)c2ccccc2O3)cc1,1.0
148,COc1ccc(CN2CCC3(C2)NC(=O)c2ccccc2O3)cc1,1.0
58,N#Cc1ccc(CN2CCC(N3CCOC3=O)CC2)cc1,1.0
146,COc1ccc(CN2CCC(N3CCOC3=O)CC2)cc1,1.0
57,C[C@@]1(O)CCN(Cc2ccc(C#N)cc2)C[C@H]1N1CCCC1,1.0
145,COc1ccc(CN2CC[C@@](C)(O)[C@H](N3CCCC3)C2)cc1,1.0
56,COCCNC(=O)c1nc2sccn2c1-c1cccc(C#N)c1,1.0
144,COCCNC(=O)c1nc2sccn2c1-c1cccc(OC)c1,1.0
55,COC(=O)[C@@H]1Cc2ncn(C)c2CN1C(=O)c1ccc(C#N)cc1,1.0
143,COC(=O)[C@@H]1Cc2ncn(C)c2CN1C(=O)c1ccc(OC)cc1,1.0
53,O=C(c1cccc(F)c1)N1CCC(Oc2cccnc2)C1,1.0
141,O=C(c1ccccc1)N1CCC(Oc2cccnc2)C1,1.0
52,CCN1CCN(C(=O)c2nc3sccn3c2-c2cccc(C#N)c2)CC1,1.0
140,CCN1CCN(C(=O)c2nc3sccn3c2-c2cccc(OC)c2)CC1,1.0
51,N#Cc1ccc(C(=O)N2CCOC[C@H](Oc3cnccn3)C2)cc1,1.0
139,COc1ccc(C(=O)N2CCOC[C@H](Oc3cnccn3)C2)cc1,1.0
50,O=C1COCCN1c1cc(-c2cccc(F)c2)cn2cncc12,1.0
184,O=C1COCCN1c1cc(-c2ccccc2)cn2cncc12,1.0
49,N#Cc1cccc(CN2CC[C@H](c3nc4ccccc4[nH]3)C2)c1,1.0
138,COc1cccc(CN2CC[C@H](c3nc4ccccc4[nH]3)C2)c1,1.0
48,N#Cc1cccc(-c2c(C(=O)N3CCOCC3)nc3sccn23)c1,1.0
137,COc1cccc(-c2c(C(=O)N3CCOCC3)nc3sccn23)c1,1.0
47,O=c1cc(N2CCOCC2)oc2c(-c3cccc(F)c3)nccc12,1.0
136,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)nccc12,1.0
45,Cn1cnc2ccc(Nc3cccc(F)c3)nc2c1=O,0.9572953736654805
134,Cn1cnc2ccc(Nc3ccccc3)nc2c1=O,1.0
44,COCCNc1ncnc2c1CCN(C(=O)c1cscn1)CC2,0.9172597864768682
133,COCCNc1nc(N)nc2c1CCN(C(=O)c1cscn1)CC2,1.0
43,N#Cc1ccc(CN2C[C@@H](CO)[C@H](c3ccncc3)C2)cc1,0.8852313167259785
132,COc1ccc(CN2C[C@@H](CO)[C@H](c3ccncc3)C2)cc1,1.0
42,N#Cc1cccc(-c2c(C(=O)N3CCCCC3)nc3sccn23)c1,0.8523131672597865
131,COc1cccc(-c2c(C(=O)N3CCCCC3)nc3sccn23)c1,0.943950177935943
41,CCOc1cc(=O)n2c(c1C(=O)Nc1ccc(C#N)cc1)CCCC2,0.8345195729537366
130,CCOc1cc(=O)n2c(c1C(=O)Nc1ccc(S(N)(=O)=O)cc1)CCCC2,1.0
40,N#Cc1ccc(CN2CC(N3CCc4ccccc43)C2)cc1,0.793594306049822
129,COc1ccc(CN2CC(N3CCc4ccccc43)C2)cc1,0.6619217081850534
39,O=c1c2nc(Nc3cccc(F)c3)ccc2ncn1-c1cccnc1,0.7900355871886121
183,O=c1c2nc(Nc3ccccc3)ccc2ncn1-c1cccnc1,1.0
38,N#Cc1cccc(-c2c(C(=O)NC3CC3)nc3sccn23)c1,0.7793594306049821
128,COc1cccc(-c2c(C(=O)NC3CC3)nc3sccn23)c1,1.0
37,N#Cc1cccc(CN2CCOC[C@H]2c2ncc(-c3ccc(F)cc3)[nH]2)c1,0.7749110320284697
127,O=C(O)c1ccc(CN2CCOC[C@H]2c2ncc(-c3ccc(F)cc3)[nH]2)cc1,1.0
36,N#Cc1ccc(CN2CCC(N3CCNC3=O)CC2)cc1,0.7615658362989324
125,COc1ccc(CN2CCC(N3CCNC3=O)CC2)cc1,1.0
35,Cc1ccsc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,0.7597864768683273
124,Cc1ccsc1-c1[nH]nc2ncc(-c3ccccc3)nc12,0.0969750889679715
34,Cc1noc(C)c1-c1cc(-c2cccc(F)c2)cn2cncc12,0.7330960854092526
123,Cc1noc(C)c1-c1cc(-c2ccccc2)cn2cncc12,1.0
32,O=C(c1ccsc1)N1CCC(Oc2cccc(F)c2)C1,0.6672597864768682
121,O=C(c1ccsc1)N1CCC(Oc2ccccc2)C1,0.2882562277580071
31,N#Cc1ccccc1CN1CCC2(CC1)CC(O)CCO2,0.6467971530249109
120,COc1ccccc1CN1CCC2(CC1)CC(O)CCO2,1.0
28,COC1CCC12CCN(C(=O)c1ccc(C#N)cc1)CC2,0.6370106761565836
117,COc1ccc(C(=O)N2CCC3(CCC3OC)CC2)cc1,0.5551601423487543
27,Fc1cccc(Nc2ncc(-c3cccnc3)c3c2OCC3)c1,0.6138790035587187
182,c1ccc(Nc2ncc(-c3cccnc3)c3c2OCC3)cc1,1.0
23,O=C(c1ccoc1)N1CCC(Oc2cccc(F)c2)C1,0.5596085409252668
113,O=C(c1ccoc1)N1CCC(Oc2ccccc2)C1,1.0
22,Cc1ccc(-c2noc([C@@H]3Cc4nc[nH]c4CN3Cc3cccc(C#N)c3)n2)cc1,0.4964412811387899
112,Cc1ccc(-c2noc([C@@H]3Cc4nc[nH]c4CN3Cc3ccc(C(=O)O)cc3)n2)cc1,0.842526690391459
118,CC(=O)N1CCC(Cc2ccc(C(=O)O)cc2)CC1,1.0
